CRCode,CRName,Latitude,Longitude
UKR,Ukraine,48.629879,38.54806137
FRA,France,48.63143158,-2.061439991
UKR,Ukraine,48.63479996,24.56936073
UKR,Ukraine,48.63750839,38.64279938
UKR,Ukraine,48.63798142,35.24547958
UKR,Ukraine,48.64308167,31.63656998
UKR,Ukraine,48.64331055,25.73793984
CAN,Canada,48.65007019,-72.44905853
UKR,Ukraine,48.65982819,35.05242157
AUT,Austria,48.66389084,16.24555969
UKR,Ukraine,48.66960907,33.11592865
SVK,Slovak Republic,48.67921829,17.36697006
FRA,France,48.68333054,6.199999809
UKR,Ukraine,48.68450165,26.58559036
UKR,Ukraine,48.68735123,33.92279053
USA,United States,48.69132996,-116.3163071
AUT,Austria,48.69158173,16.86951065
DEU,Germany,48.69443893,13.12139034
SVK,Slovak Republic,48.70040894,20.89366913
FRA,France,48.7081604,6.16960001
UKR,Ukraine,48.70970917,30.4482708
UKR,Ukraine,48.71089935,23.18510056
SVK,Slovak Republic,48.71105957,18.53388977
UKR,Ukraine,48.71278,32.66471863
SVK,Slovak Republic,48.71395111,21.25807953
KAZ,Kazakhstan,48.71667099,83.69999695
RUS,Russian Federation,48.71939087,44.50183868
UKR,Ukraine,48.72093964,33.07078171
UKR,Ukraine,48.72304916,37.55628967
FRA,France,48.73332977,1.366670012
UKR,Ukraine,48.74837875,30.22183991
SVK,Slovak Republic,48.75875855,17.56866074
USA,United States,48.75954819,-122.4882202
FRA,France,48.76202011,-0.598760009
DEU,Germany,48.7650795,11.42372036
DEU,Germany,48.76667023,12.81667042
CAN,Canada,48.76676941,-72.04904938
DEU,Germany,48.78231812,9.177020073
CAN,Canada,48.78340912,-87.09996033
DEU,Germany,48.78855133,12.7231102
DEU,Germany,48.79946899,9.798089981
FRA,France,48.79993057,2.332560062
RUS,Russian Federation,48.79999924,132.9499969
UKR,Ukraine,48.80332184,26.04347038
SVK,Slovak Republic,48.80430985,19.63631058
UKR,Ukraine,48.81143189,29.38977051
